method,description,implementation_status,diverged,backend,model_family,state_source,input_channel,evaluation_mode,training_scenario,validation_scenario,scenario,scenario_title,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,rmse_position_m,rmse_velocity_mps,rmse_quaternion,rmse_rates_rad_s,rmse_mocap_position_m,rmse_mocap_quaternion,notes
6DOF-NominalGreyBox,Attached-flow nominal 6DOF rollout using pilot commands and no fitted stall correction.,implemented,False,numpy-rk4,aircraft6dof,direct,u_cmd,open_loop,none,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.23729085201136527,0.0,0.0,0.0,0.0,0.3867872289993102,0.3867872289993102,,0,0,57.0913362443588,10.62824298201528,0.3848431849637173,0.7794806309184847,57.0913362443588,0.3848431849637173,"No-fit baseline; mismatch includes actuator lag, hidden stall/nonlinear aerodynamics, and mocap-derived initialization error."
6DOF-LinearSS,Global affine discrete state-space fit x[k+1]=A x[k]+B u_cmd[k]+c.,implemented,False,numpy-ridge,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_trim_grid,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.2656945430936275,0.010207170002104249,0.010196749000000005,0.0,0.0,0.05615364300319925,0.0663608130053035,,234,19200,84.03513569478469,10.307073495424797,0.4707673785826646,0.9866744086828311,84.03513569478469,0.47076737858266465,Open-loop rollout; validation measurements are not assimilated after initialization.
6DOF-RidgeResidual,Nominal RK4 model plus ridge-fitted one-step residual correction.,implemented,False,numpy-rk4-ridge,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_aggressive,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.23645272232618939,1.3690551550025702,0.08460477699999991,0.0,0.0,0.428946788997564,1.7980019440001342,,234,19200,45.476772971390204,9.979065769850063,0.40310390237754107,0.9872428154861915,45.47677297139021,0.40310390237754107,Residual corrects actuator lag and hidden nonlinear stall/aerodynamic effects around the attached-flow model.
6DOF-Model-Stitching,Airdata-scheduled family of local affine one-step state models.,implemented,False,numpy-local-ridge,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_trim_grid,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.2775163531449935,0.3898241520000738,0.38978248400000004,0.0,0.0,0.0893570250045741,0.4791811770046479,,1110,19200,76.11869627732591,10.434800271196934,0.4922088991769427,1.0510047005492023,76.11869627732591,0.4922088991769427,"Local models are selected by speed, angle of attack, and sideslip during open-loop validation."
6DOF-Frequency-Welch,Frequency-domain-inspired global linear baseline approximated by a regularized one-step realization.,placeholder,False,numpy-regularized-realization,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_trim_grid,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.26569453886268984,0.0065304159943480045,0.006521826000000175,0.0,0.0,0.04664002500066999,0.053170440995018,,234,19200,84.0349752990491,10.307059713258658,0.4707676507483024,0.9866983810647556,84.03497529904911,0.4707676507483024,Placeholder 6DOF frequency row: uses an identified realization rather than CIFER/SIDPAC tooling.
6DOF-Frequency-Stitching,Airdata-scheduled local realization residuals around the nominal 6DOF equations.,placeholder,False,numpy-local-realization,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_trim_grid,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.5640395623033292,1.4123520069988444,0.47270225899999985,0.0,0.0,0.48556750300485874,1.8979195100037032,,1110,19200,66.96244374344136,17.88402726126031,0.488646158529176,2.733119507912836,66.96244374344136,0.488646158529176,6DOF counterpart to local frequency/model stitching; trained from the selected 6DOF dataset. Not a frequency-domain method: local affine residual fits scheduled on airdata.
6DOF-EKF-ParamID,Recursive-estimation analogue represented by a fitted affine residual parameter vector.,placeholder,False,numpy-ridge-paramid,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_aggressive,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.23645271977397814,1.0935014330025297,0.09554775799999993,0.0,0.0,0.4315082520042779,1.5250096850068076,,234,19200,45.476772585964234,9.979065767757948,0.4031038961956428,0.9872427860559019,45.476772585964234,0.4031038961956427,The validation phase is open loop and receives only pilot commands after initialization. No recursive filter is run: this row is a ridge-fitted affine residual model.
6DOF-Fisher-UQ,Fisher-information wrapper around the fitted residual parameter model.,placeholder,False,numpy-ridge-uq,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_aggressive,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.23645271977397814,1.0935014330025297,0.09554775799999993,0.0,0.0,0.4315082520042779,1.5250096850068076,,234,19200,45.476772585964234,9.979065767757948,0.4031038961956428,0.9872427860559019,45.476772585964234,0.4031038961956427,Duplicate of the 6DOF-EKF-ParamID fit (same weights and prediction); no Fisher-information analysis is computed for 6DOF.
6DOF-OEM-SS,Output-error state-space residual model using the same open-loop rollout structure as the fitted parameter model.,placeholder,False,numpy-rk4-ridge,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_aggressive,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,0.23645271977397814,1.0935014330025297,0.09554775799999993,0.0,0.0,0.4315082520042779,1.5250096850068076,,234,19200,45.476772585964234,9.979065767757948,0.4031038961956428,0.9872427860559019,45.476772585964234,0.4031038961956427,Duplicate of the 6DOF-EKF-ParamID fit (same weights and prediction); no output-error optimization is run for 6DOF.
6DOF-EquationError-LS,Affine derivative regression rolled out open-loop with explicit integration.,implemented,False,numpy-ridge-derivative,aircraft6dof,direct,u_cmd,open_loop,aircraft_6dof_aggressive,aircraft_6dof_open_loop,aircraft_6dof_open_loop,Open-loop,5.400356692758273,0.012629242002731189,0.012629141000000121,0.0,0.0,0.11989023399655707,0.13251947599928826,,112,19200,90.55533371659482,13.62786083125262,0.54174540803918,67.40251024749054,90.55533371659482,0.54174540803918,Equation-error least squares on Savitzky-Golay smoothed derivatives (50 ms quadratic window).
